,week_ending,week_number,vaxx_status,age_grp,deaths,pop,per_tot_pop,per_100k,lwr_ci,upr_ci
0,2021-01-08,1,Unvaccinated,10-59,991,26822400,98.1,3.6946731090431877,3.5,3.9
1,2021-01-15,2,Unvaccinated,10-59,1064,26382353,96.5,4.032998876180605,3.8,4.3
2,2021-01-22,3,Unvaccinated,10-59,1071,25883217,94.7,4.137816408215408,3.9,4.4
3,2021-01-29,4,Unvaccinated,10-59,940,25426420,93.0,3.696941999699525,3.5,3.9
4,2021-02-05,5,Unvaccinated,10-59,898,25027294,91.6,3.588082674858896,3.4,3.8
5,2021-02-12,6,Unvaccinated,10-59,786,24560946,89.9,3.2002024677713963,3.0,3.4
6,2021-02-19,7,Unvaccinated,10-59,715,23836449,87.2,2.9996078694439765,2.8,3.2
7,2021-02-26,8,Unvaccinated,10-59,564,22789777,83.4,2.4747938516467274,2.3,2.7
8,2021-03-05,9,Unvaccinated,10-59,493,21943381,80.3,2.246691154840724,2.1,2.5
9,2021-03-12,10,Unvaccinated,10-59,455,21134906,77.4,2.1528366390652507,2.0,2.4
10,2021-03-19,11,Unvaccinated,10-59,367,19205753,70.3,1.9108857642811505,1.7,2.1
11,2021-03-26,12,Unvaccinated,10-59,321,17445934,63.9,1.8399702761686476,1.6,2.1
12,2021-04-02,13,Unvaccinated,10-59,263,16427186,60.2,1.601004578629596,1.4,1.8
13,2021-04-09,14,Unvaccinated,10-59,221,16200785,59.4,1.3641314294338207,1.2,1.6
14,2021-04-16,15,Unvaccinated,10-59,233,15839558,58.1,1.4710006428209677,1.3,1.7
15,2021-04-23,16,Unvaccinated,10-59,211,15336442,56.3,1.375808026398822,1.2,1.6
16,2021-04-30,17,Unvaccinated,10-59,192,14946544,54.9,1.2845778930567495,1.1,1.5
17,2021-05-07,18,Unvaccinated,10-59,167,14476853,53.2,1.1535656264521026,1.0,1.3
18,2021-05-14,19,Unvaccinated,10-59,159,13857629,50.9,1.1473824273979336,1.0,1.3
19,2021-05-21,20,Unvaccinated,10-59,171,13039777,47.9,1.3113721193238197,1.1,1.5
20,2021-05-28,21,Unvaccinated,10-59,130,12323898,45.3,1.0548610512680323,0.9,1.3
21,2021-06-04,22,Unvaccinated,10-59,125,11832842,43.5,1.0563818903353903,0.9,1.3
22,2021-06-11,23,Unvaccinated,10-59,121,11238256,41.4,1.076679513262556,0.9,1.3
23,2021-06-18,24,Unvaccinated,10-59,112,10455101,38.5,1.0712474226695659,0.9,1.3
24,2021-06-25,25,Unvaccinated,10-59,138,9611379,35.4,1.435798130528408,1.2,1.7
25,2021-07-02,26,Unvaccinated,10-59,119,9019417,33.3,1.3193757423567398,1.1,1.6
26,2021-07-09,27,Unvaccinated,10-59,99,8666472,32.0,1.142333350872189,0.9,1.4
27,2021-07-16,28,Unvaccinated,10-59,101,8453594,31.2,1.1947581111654995,1.0,1.5
28,2021-07-23,29,Unvaccinated,10-59,126,8297537,30.6,1.5185229062551935,1.3,1.8
29,2021-07-30,30,Unvaccinated,10-59,128,8177953,30.2,1.565183854688331,1.3,1.9
30,2021-08-06,31,Unvaccinated,10-59,117,8075195,29.8,1.4488814202009983,1.2,1.7
31,2021-08-13,32,Unvaccinated,10-59,96,7950971,29.4,1.2073996999863288,1.0,1.5
32,2021-08-20,33,Unvaccinated,10-59,115,7766772,28.7,1.4806666141351903,1.2,1.8
33,2021-08-27,34,Unvaccinated,10-59,105,7542599,27.9,1.3920930968224614,1.1,1.7
34,2021-09-03,35,Unvaccinated,10-59,106,7404803,27.4,1.4315033094060707,1.2,1.7
35,2021-09-10,36,Unvaccinated,10-59,100,7312771,27.1,1.3674706892913782,1.1,1.7
36,2021-09-17,37,Unvaccinated,10-59,92,7241928,26.8,1.2703799319739164,1.0,1.6
37,2021-09-24,38,Unvaccinated,10-59,68,7167322,26.6,0.9487504537957134,0.7,1.2
