,week_ending,week_number,vaxx_status,age_grp,deaths,pop,per_tot_pop,per_100k,lwr_ci,upr_ci
114,2021-01-08,1,Second dose,10-59,0,44563,0.2,0.0,:,:
115,2021-01-15,2,Second dose,10-59,0,70452,0.3,0.0,:,:
116,2021-01-22,3,Second dose,10-59,1,74082,0.3,1.3498555654544964,:,:
117,2021-01-29,4,Second dose,10-59,1,77230,0.3,1.2948336138806162,:,:
118,2021-02-05,5,Second dose,10-59,1,84517,0.3,1.183193913650508,:,:
119,2021-02-12,6,Second dose,10-59,0,93412,0.3,0.0,:,:
120,2021-02-19,7,Second dose,10-59,2,105286,0.4,1.8995877894496893,:,:
121,2021-02-26,8,Second dose,10-59,0,141603,0.5,0.0,:,:
122,2021-03-05,9,Second dose,10-59,1,208829,0.8,0.47886069463532366,:,:
123,2021-03-12,10,Second dose,10-59,0,314865,1.2,0.0,:,:
124,2021-03-19,11,Second dose,10-59,5,494125,1.8,1.0118897040222616,0.3,2.4
125,2021-03-26,12,Second dose,10-59,5,807129,3.0,0.6194796618632213,0.2,1.4
126,2021-04-02,13,Second dose,10-59,14,1263461,4.6,1.1080674433164142,0.6,1.9
127,2021-04-09,14,Second dose,10-59,23,1689651,6.2,1.361227851195306,0.9,2.0
128,2021-04-16,15,Second dose,10-59,33,2143801,7.9,1.539321979978552,1.1,2.2
129,2021-04-23,16,Second dose,10-59,51,2605033,9.6,1.9577487118205412,1.5,2.6
130,2021-04-30,17,Second dose,10-59,85,3064381,11.3,2.773806520794901,2.2,3.4
131,2021-05-07,18,Second dose,10-59,108,3729768,13.7,2.8956224623086477,2.4,3.5
132,2021-05-14,19,Second dose,10-59,142,4732520,17.4,3.0005155815506326,2.5,3.5
133,2021-05-21,20,Second dose,10-59,190,5779050,21.2,3.287737603931442,2.8,3.8
134,2021-05-28,21,Second dose,10-59,220,7220792,26.6,3.046757197825391,2.7,3.5
135,2021-06-04,22,Second dose,10-59,228,8454397,31.1,2.6968215474149133,2.4,3.1
136,2021-06-11,23,Second dose,10-59,277,9770659,36.0,2.835018600076003,2.5,3.2
137,2021-06-18,24,Second dose,10-59,285,10668457,39.3,2.671426617738629,2.4,3.0
138,2021-06-25,25,Second dose,10-59,345,11264119,41.5,3.0628227560451022,2.7,3.4
139,2021-07-02,26,Second dose,10-59,336,11878770,43.8,2.828575685866466,2.5,3.1
140,2021-07-09,27,Second dose,10-59,355,12468952,46.0,2.8470716704980497,2.6,3.2
141,2021-07-16,28,Second dose,10-59,340,13105121,48.4,2.594405652568946,2.3,2.9
142,2021-07-23,29,Second dose,10-59,403,13743102,50.7,2.932380186074439,2.7,3.2
143,2021-07-30,30,Second dose,10-59,411,14308774,52.8,2.872363488304449,2.6,3.2
144,2021-08-06,31,Second dose,10-59,381,14862577,54.9,2.563485457468109,2.3,2.8
145,2021-08-13,32,Second dose,10-59,405,15487715,57.3,2.6149758050170733,2.4,2.9
146,2021-08-20,33,Second dose,10-59,399,16130673,59.7,2.4735483758179218,2.2,2.7
147,2021-08-27,34,Second dose,10-59,366,16716007,61.8,2.189518106806249,2.0,2.4
148,2021-09-03,35,Second dose,10-59,399,17133651,63.4,2.3287505972895093,2.1,2.6
149,2021-09-10,36,Second dose,10-59,477,17493725,64.8,2.726691999559842,2.5,3.0
150,2021-09-17,37,Second dose,10-59,394,17750109,65.8,2.219704678996619,2.0,2.5
151,2021-09-24,38,Second dose,10-59,400,17924346,66.4,2.231601643931667,2.0,2.5
